Club Name,Recordings,Club Identifier
FRA High School Soccer,140,franklin-road-academy-high-school-soccer
Franklin,69,franklin-soccer-club
Phoenix Surf,102,phoenix-surf-soccer-club
Franklins Soccer Teams,66,orono-highschool
Franklinton High School,60,franklinton-high-school-soccer
Athletico,91,franklin-township-soccer-club
Franklin Elite,200,franklin-township-youth-soccer-association-2
FTYSA Fierce,71,franklin-twp-youth-soccer-assoc
Franklin United,169,franklin-united
Nashville Warriors,29,franklin-vanguard-dba-nashville-warriors-hockey-cl
Frank Muir,29,frank-muir-lions-fc
Frankvoort,25,frankvoort
Fränsta ik,42,fransta-ik
FRAORE - U17 Elite,17,parma
Fraserburgh FC,34,fraserburgh-fc
Fraserburgh rfc,41,fraserburgh-rugby-football-club
FFC,383,fraser-football-coaching-2
Fraser Park FC,1125,fraser-park-football-club
FSC,109,fraser-soccer
Fraser Tech,16,fraser-tech-rugby-club
FVLC,17,fraser-valley-lacrosse-club
FV Selects,121,langley-united-soccer-association-2
FV Selects,64,fraser-valley-selects
Fratta Terme,27,fratta-terme-1b20ef02
FFC Berlin 2004,50,frauenfuball-club-berlin-2004-ev
Frazer Family Soccer,122,frazer-family-soccer
Fr.Caseys GAA Club,61,fr-caseys-gaa-club
FRD,180,clube-internacional-de-foot-ball
FS16,16,fred-598bbaee
Madison United,37,freddy-rojas
Fred Ehlen,10,fred-ehlen
Fredensborg B&I,305,fredensborg-b-i
Fredericia forenende Fodboldklubber,78,fredericia-forenede-fodboldklubber
Fredericia KFUM,10,fredericia-kfums-aktivitetscenter
Fredericia KF,225,fredericia-kvindefodbold
FCSC,150,frederick-county-soccer-club
Douglass Girls Soccer,172,frederick-douglass-high-school-girls-soccer
Douglass Men's Soccer,56,frederick-douglass-mens-soccer
FHS,96,frederick-high-school
Fredericksburg Christian School,32,fredericksburg-christian-school
Fredericksburg FC,553,fredericksburg-fc
CFC,190,king-george-united
FFC06,73,fredericksburg-football-club-2
Fredericksburg Football Club 2008 Girls NCSL,17,fredericksburg-football-club-245614fb
Fredericksburg Phoenix Soccer Club,45,fredericksburg-phoenix-soccer-club
Frédéric Sadarnac,177,ff-academy-new-york
Fredericton 2008 Boys Soccer,41,fredericton-boys-2008-soccer
Fredericton Christian Academy,83,fredericton-christian-academy
FDSA,414,fredericton-district-soccer-association
Loyalists Rugby Club,64,fredericton-loyalists-rugby-club-inc
FMHOA,109,fredericton-minor-hockey-officials-assoc
Rud,19,frederik
FA2000,20,frederiksberg-alliancen-2000-7
FA 2000,843,frederiksberg-alliancen-2000
Fb,32,frederiksberg-boldklub-9f572d65
FB,468,fb
FIF Håndbold,54,frederiksberg-idraetsforening
Frederiksberg Rugby Klub,134,frederiksberg-rugby-klub
Frederiksberg Rugby Klub,76,frederiksberg-rugby-club
Frederikshavn FI senior,78,frederikshavn-fi-senior
FFB,12,frederikssund
Frederikssund IK,229,frederikssund-ik
Frederikssunds Forenede Boldklubber,258,ffb
Frederiksværk Fodbold Klub,36,frederiksvaerk-fodbold-klub-cef2db56
FRED FC,118,club-costa-city
Page High School,168,page-highschool
Freddie's,42,fred-longworth-high-school
The club,68,alexander-skattberg
FFK,12,fredrikstad-fotballklubb
Fredrikstad FK,253,fredrikstad-fotballklubb-3
Freebird FC,40,freebird-fc
Freebooters,52,freebooters-afc
Freed-Hardeman University,182,freed-hardeman-university
Freedom,40,team-1
Freedom Futbol Club,42,freedom-futbol-club-cc5bd2ae
Freedom Hoops,50,freedom-hoops
Freedom Courage,69,freedom-soccer-club-6de86661
Freedom Soccer Club,75,freedoms-soccer-club
FSC Knights B2010,46,fsc-soccer-club
FSC Stars,373,freedom-soccer-club-3
FSC Impact,25,freedom-soccer-club-ef1017ed
Freehold Boro,60,freehold-boro-high-school
Freehold Township Boys Soccer,49,freehold-township-boys-soccer
Freehold Township Girls Soccer,28,freehold-township-girls-soccer
Freels Squad,137,columbia-arsenal
Freeman,69,06-lady-lobos
FreemanFC,180,freemanfc
Freeman team,324,towmencin-dynamo
Freeport Youth Football,31,freeport-youth-football
Free State High School,68,free-state-high-school
Freestyle,61,freestyle-28
Freezzz Beezzz,88,freezzz-beezzz-brugge
École Secondaire Samuel-de Champlain,236,fregates-samuel-de-champlain-esc
Fregene Maccarese Calcio,94,fregene-maccarese-calcio
Freiburger FC,273,freiburger-fuball-club-1897-e-v
Freie Sportvereinigung Harburg-Rönneburg von 1893,20,freie-sportvereinigung-harburg-ronneburg-von-1893
Freie Turner Forchheim,42,freie-turner-forchheim
Freie Turner Wiesbaden,156,tsg-1846-bretzenheim
Frei FK,18,frei-fotballklubb
Fremad Valby,327,fremad-valby
Thomas,223,fremantle-city-football-club
FREMANTLE City Football club,481,fremantle-city-football-club-2
Freo Hockey,44,fremantle-cockburn-hockey-club
Fremantle Wolves,404,fremantle-wolves
Frem Hellebæk.,62,fhdk
Frem Hellebæk Fodbold,17,frem-hellebaek-fodbold
Fremington FC,26,fremington-football-club
Fremont HS Soccer,18,fremont-hs-soccer
Fremont YSC,92,fremont-ysc
Frenches Athletic FC,57,frenches-athletic-fc
French Football Academy,115,soccer-stars-united-apollo
2008 Kante,35,french-football-academy-nyc
Frenchtown Soccer,87,frenchtown-soccer
Frenchville Roos,51,frenchville-football-club
Frenford FC,12,jonny-meager
Frenford FC,295,frenford-fc
Frenford  FC,116,senrab-fc
Frerichs Construction,10,frerichs-construction
FRESHAIR,22,fresh-air-basket-club
Fresh Cut Pitch,89,world-class-premier-45c47dd1
Albertville JV Soccer,24,albertville-jv-soccer
FRESNES U10,56,rmt-sushi
FCC Men's Soccer,129,fresno-city-college-mens-soccer
fresno heat,43,fresno-heat-76139d75
Fresno Heat FC,509,fresno-heat-fc
Fresno Heat Phoenix 2012,78,fresno-heat-2012b-phoenix
Fresno High Warriors,102,fresno-high-warriors
Frickley athletic 18s,84,frickley-athletic
Friday Harbor,40,friday-harbor
Friday Night 5s,65,friday-night-5s
Friedenauer TSC,16,friedenauer-tsc-a12b411c
Friedman-Gopaulsingh family,13,friedman-gopaulsingh-family
Friedrichshagener SV,31,friedrichshagener-sv-1912-ev
FRIENDLY Jrユース,1179,japan-football-7-society-association-5
FFC,56,friends-fighting-cancer
FOBS,142,friends-of-belmont-soccer
Friends' School Lisburn,71,friends-school-lisburn
Friendswood High School Girls Soccer,11,friendswood-high-school-girls-soccer
Friendswood HS,27,friendswood-hs
Frigg,366,frigg-oslo-fk
Frillesås FF,10,frillesaas-ff-e542e4d4
Mavericks,97,frisco-emerson-mavericks
Frisco Fusion,82,frisco-fusion-7a1b2032
HHS Boys Soccer,117,frisco-heritage-boys-soccer
Coyote Soccer,99,frisco-heritage-high-school-girls-soccer
Frisco Independence High School,190,frisco-independence-high-school
Frisco Lacrosse Association,56,frisco-lacrosse-association-a4f1cde6
Lebanon Trail,79,frisco-lebanon-trail
Frisco Liberty High School,146,frisco-liberty-high-school
Frisco Wakeland,10,frisco-wakeland-varsity-girls-soccer
Frisk Asker Fotball,89,frisk-asker-fotball
Friskfaktor FU,135,ostansbo-is
Fristads GoIF,287,fristads-gymnastik-och-idrottssforening
Fr. McGivney Griffins,65,fr-mcgivney-high-school-griffins
Frode Ullenes,18,frode-ullenes
FJFC,105,frodsham-junior-football-club
Frodsham JFC,26,frodsham-junior-football-club-6736b2b2
Frogner IL,24,frogner-idrettslag-2
Frohnauer SC,153,frohnauer-sc
Froland Fotball,21,froland-idrettslag-fotball
Frome RFC,68,frome-rfc
Frome Town,49,frome-town-afc-ltd
Frome Town United FC,21,frome-town-united-fc
Frome Town United FC,255,frome-town-football-club
Frome Town Women FC,20,frome-town-women-fc
Frontier Academy,141,frontier-academy
Frontier FC,196,frontier-football-club
Frontiers FC,60,frontiers-football-club
Frontier Soccer,63,frontier-soccer
ASFAC,113,la-clermontaise-football
Frontonese,22,garpo-srl
Frösö IF,325,froso-if
Frostburg,10,frostburg-state-university-womens-rugby
Frostproof,105,frostproof
Frostproof,190,frostproof-boys-soccer
Frostproof High School,14,frostproof-middle-senior-high-school
Frövi IK,16,frovi-idrottsklubb
Frøya Fotball,71,froeya-fotball
Frøyland,17,froeyland-idrettslag
FR Performance,46,fernando-reyes
FRs FC,228,key-biscayne-soccer-club-2
FSC 2013B,106,fruitridge-soccer-club
Fruitridge Soccer Club United 14B,14,fsc-united-14b
Free State Academy Club (FSA),90,maryland-rush-montgomery
FSA Kras,51,fsa-kras
FSA,97,fsa-ntc
FSA Soccer w/All Star Sports,34,all-star-sports
FSA SPORT,17,fsa-sport
FSC,166,franklin-soccer-club-91080a43
FSC2014Blue,18,fsc2014blue
Sam Shaw,85,sam-shaw-club
Hartberg Amateure,199,fsc-eggendorf-hartberg-amateure
FSC Lohfelden 1924 e.V.,21,fsc-lohfelden-1924-ev
FSC,59,freedom-soccer-club-a1d7d29d
FSD Academy,10,fsd-academy-34cd3e1a
FSD Academy,60,fsd-academy
FS Holstebro,188,strauss-partnere
Futbola skola Jelgava,275,fs-jelgava
FS Metta,13,fs-metta-3
FS TALAVERA,85,fs-talavera
FSV 06 Ohratal,18,fsv-06-ohratal
FSV 1906 Erbach e.V.,49,fsv-erbach-1906-ev
FSV 1946 Saulheim e.V.,119,fsv-1946-saulheim-ev
FSV 1966 Zöbingen e.V.,39,fsv-1966-zobingen-ev
FSV Alemannia Laubenheim 1911 e.V.,36,fsv-alemannia-laubenheim-1911-ev
74,19,fsv-babelsberg-74-19b655be
Babelsberg 74,63,fsv-babelsberg-74
FSV Bad Friedrichshall,124,fsv-bad-friedrichshall
FSV Bernau,220,fsv-bernau-ev
Berolina Stralau,220,fsv-berolina-stralau-1901
BW Mahlsdorf,104,fsv-blau-wei-mahlsdorf-waldesruh
FSV Dörnberg,117,fsv-dornberg
Dummerstorf,29,fsv-dummerstorf-47
FSV Eching am Ammersee e.V.,54,fsv-eching-am-ammersee-ev
FSV Erlangen-Bruck,111,fsv-erlangen-bruck
FSV Frankfurt 1899 e.V.,242,fsv-frankfurt-2
FSV Friedrichsdorf,12,fsv-friedrichsdorf
FSV GRÜN WEISS ILSENBURG,13,fsv-grun-weiss-ilsenburg
FSV Gütersloh,81,fsv-gutersloh-2009-ev
Hansa 07,38,fsv-hansa-07
FSV Hessen Wetzlar,146,fsv-hessen-wetzlar-e-v
FSV Hollenbach,25,fsv-hollenbach
KÜBO,84,fsv-kuhlungsborn
FSV Marktoberdorf,15,fsv-marktoberdorf
FSV Motor Marienberg,25,fsv-motor-marienberg
FSV Rot-Weiß Stegen,40,fsv-rot-wei-stegen
FSV Salmrohr,49,fsv-salmrohr
FSV Saxonia Tangermünde,103,fsv-saxonia-tangermunde
FSV,13,fsv-schoningen
FSV Schorfheide Joachimsthal,41,fsv-schorfheide-joachimsthal
SpaKi,69,spaki
FSV Spremberg 1895 e.V.,24,fsv-spremberg-1895
FSV Steinkirchen,15,fsv-steinkirchen
FSV Teutonia Obernau 1912 e.V.,26,fsv-teutonia-obernau
FSV Waldebene Ost,85,fsv-waldebene-ost
FSV Weiler zum Stein,85,fsv-weiler-zum-stein-73a44a34
FSV Wörth,53,fsv-worth-1927-ev
FSV Zwickau e.V.,49,fsv-zwickau-ev-4b683d23
FT Adler Kiel,46,ft-adler-kiel
FT Atletico Affligem,26,ft-atletico-affligem
Camp games,10,ftc-camp
FTC Kézilabda Akadémia,822,ftc-kc
Fleet Town FC,182,ftfc
FT  FC Perth Australia,86,bayswater-city-fc-u15
FTFTogo,38,ftftogo
FT,222,futboltech-d7cfc933
FT München-Gern,51,ft-munchen-gern-ev
F.TRES FC,70,1-be1506a2
FTS,10,fts
FT Starnberg 09 e.V.,63,ft-starnberg-09-ev
FTSV Kuchen,60,ftsv-kuchen
FⅭアンジョイU15,72,fcu15
Füchse Berlin Reinickendorf,32,fuchse-berlin-reinickendorf-43153b37
Füchse Berlin,43,fuchse-berlin
Fuchu Athletic FC,123,fuchu-athletic-fc
FK Željezničar,176,fudbalski-klub-zeljeznicar
Fudbalski savez Zapadne Srbije,41,vrelo-sport
Fuerty GAA Club,18,fuerty-gaa-club
Fuerzas Basicas PV,34,fuerzas-basicas-pv
Fugazi,25,fugazi
Fuglebakken,31,fuglebakken-9e9effc0
Fuglebakken KFUM,117,fuglebakken-kfum-aarhus
Fuglebjerg Sandved Tornemark,10,fuglebjerg-sandved-tornemark
Fujairah Football Club,17,fujairah-football-club
MYFC,244,fujieda-myfc
Fulham FCF - Ark Globe,44,fulham-fc-foundation-ark-globe
Fulham FC Foundation,12,fulham-fc-foundation
Fulham FC,26,fulham-fc-foundation-9ad12fef
Fulham FC,323,fulham-fc-women
Fulham,150,fulham-united-01eeadd7
Fulham United FC,18,fulham-united-fc-c84c67a0
Fulham United FC,162,fulham-united-football-club-6da2661c
Full 360 Sports,182,maestro-soccer
Full Count Training,18,jr-blue-dukes-5897023f
Fullerians,213,fullerians-rugby-football-club
Fullerton College,116,fullerton-college-mens-soccer
Commonname,10,fullname
Swoopes' Veo,46,seattle-bombers
Full Tide Ireland Limited,14,full-tide-ireland-limited
FTF TURKEY,12,full-time-football-turkey
Fulshear Basketball,45,fulshear-basketball
Fulshear Boys Soccer,116,fulshear-high-school-boys-soccer
Fulton Montgomery Community College Raiders,116,fulton-montgomery-community-college
Fumbol10,29,fumbol-10
FUNABASHI ELEVEN 2002,33,funabashi-eleven-2002
FU NARBONNE,30,fu-narbonne
FAF,19,fundacio-academia-hospitalet
Fundació Esportiva Montgat,56,fundacio-esportiva-montgat
FUNDACION,287,fundacion
Fundacion Benedetti,93,fundacion-benedetti
Fundación Deportiva Malaga c.f,30,fundacion-deportiva-malaga-cf
Fundación deportiva Málaga CF SAD,31,fundacion-deportiva-malaga-cf-sad
Fundación Femenino,75,fundacion-femenino
Academia Rey,181,fundacion-lara-deportiva
Málaga CF,195,malaga-club-de-futbol-escuela
Fundación Marcet,5300,fundacion-marcet
Fundacion Real Madrid - Campus & Clinics,34,fundacion-real-madrid-campus-clinics
Fundación Supernova,14,fundacion-supernova
Fundació  L’Hospitalet Atlètic,69,fundacio-privada-esportiva-lhospitalet-atletic
Fundacio Unio Esportiva Cornella,30,fundacio-unio-esportiva-cornella
FUNDACJA AKADEMIA SANDECJA,16,fundacja-akademia-sandecja
Fundamental Footall Club,39,fundamental-footall-club
Funder GF Fodbold,131,funder-gymnastikforening
Fundy Soccer Club,169,fundy-soccer-club-inc
Fundy Youth Soccer Club,12,fundy-youth-soccer-club
Furesø Bold Akademi,73,furesoe-bold-akademi
Furesø Håndbold,92,furesoe-haandbold
Furnace,86,furnace-united-rugby-football-club
Furnes Fotball,15,furnes-fotball-003e1628
Fursan Hispania U9,144,fursan-hispania
Furuflaten IL,39,furuflaten-idrettslag
FIF,15,furuheim-idrettsforening
FIK,262,furulunds-ik
Furuset Fotball IF,24,furuset-fotball-if
Fury FC,97,fury-fc-381afeb4
Fury FC,196,fury-fc-soccer-club
Fussball,171,asc-cranz-estebrugge
FC Uitgeest,105,fusie-club-uitgeest-2
Fusion - 2009 Girls,121,soccer-1c673471
Fusion Oostende,95,fusion-academy-oostende
Fusion FC 2012 Girls Gray McCampbell,11,fusion-fc-2012-girls-gray-mccampbell
Fusion FC NKY,934,fusion-football-club-of-northern-kentucky
Fusion FC NKY (Live),12,fusion-fc-nky-5a197a44
Fusion,47,kd-sports
Fusion,84,fusion-football-club-374e7255
Fusion Lacrosse,24,westtown-boys-lacrosse
Fusion,69,fusion-rl-ecnl
Fusion,54,fusion-soccer-club
Fusi Soccer Vids,89,fc-copa-greater-flemington
Fußball -,110,sg-bw-1921-brachstedt
AKA St. Pölten,73,fussballakademie-st-polten
FC Brugg,11,fc-brugg-861ecb53
FC Adliswil,39,fussballclub-adliswil-4f8793ab
FC Aesch,107,fussballclub-aesch
FCA,205,sgsdgsdg
Fussballclub Bad Ragaz 1,49,fussballclub-bad-ragaz
FC Bonaduz,12,fussballclub-bonaduz
FC Brugg,81,fussballclub-brugg
FC Emmendingen 03,137,fussball-club-emmendingen-03
FC EMS,115,fussballclub-ems
FC Erlinsbach,101,fussball-club-erlinsbach
FC Este 2012,85,fussballclub-este-2012
FCF,22,fussballclub-fehraltorf
FC Goldstern,70,fussball-club-goldstern
FC Henau1,20,fussballclub-henau
F.C. 1933 Holzhausen,35,fuball-club-holzhausen-1933
FC Horgen,40,fussballclub-horgen
FC Iserlohn,129,fuball-club-iserlohn
Fußball-Club Kalbach e.V.,49,fuball-club-kalbach-ev
FC Küsnacht,35,fussball-club-kusnacht
FC Küssnacht,61,fussball-club-kussnacht-am-rigi
FC Luzern Frauen,109,fussballclub-luzern-frauen
FC Muri,38,fussballclub-muri
FC Nagelberg,164,fuball-club-nagelberg-ev
FC Oberrieden,86,fussballclub-oberrieden
FC Puch,68,fussballclub-puch
Fussballclub Richterswil,20,fc-richterswil
FC St. Pauli Rugbyabteilung,109,fuball-club-sankt-pauli-rugbyabteilung
FC Sargans,43,fussballclub-sargans
FC Sarnen,104,fussballclub-sarnen
FC Schaan,15,fussballclub-schaan
FC Schlieren Frauen,72,fussball-club-schlieren-frauen
FC Spiez,40,fussballclub-spiez
FC Stubai,100,fuballclub-stubai
FC Thingau e.V.,50,fussballclub-thingau
FC Thun,52,fussball-club-thun
FC Trimbach,18,fussballclub-trimbach
FC Turgi,59,fussballclub-turgi
FC Vaduz,23,berner-sport-club-young-boys
FC Wabern,59,fc-wabern
FC Wangen e.V.,76,fuballclub-wangen-e-v-1905
Wiedikon,20,fussballclub-wiedikon
Würzburger Kickers,50,fuball-club-wurzburger-kickers-e-v
FC Zuzwil 1981,95,fussballclub-zuzwil
Fussballförderverein Juniorteam Aalen e.V.,63,fussballforderverein-juniorteam-aalen-ev
Fußball-Förderverein Mehring e.V.,42,sv-mehring-1968
Fußballförderverein TSV Adendorf,69,fuballforderverein-tsv-adendorf
Fussball Förderverein Tüssling Teising,41,fussball-forderverein-tussling-teising
Fußball-Landesverband Brandenburg,131,fuball-landesverband-brandenburg
FS Feldbach,124,fuball-schule-feldbach
KANTENWEIN ACADEMY,182,international-study
Fußballschule Professional,28,fuballschule-professional
FSV 1920 Offenbach e.V.,48,fussball-sport-verein-1920-offenbach
FSV Babelsberg 74,28,fuball-sportverein-babelsberg-74
FSV Barleben,82,fuballsportverein-barleben-1911
FSV Großenhausen,19,fussballsportverein-groenhausen
FT Freiham,204,fussball-talente-freiham-ev
Fussball Talente München e.V,24,fussball-talente-munchen-ev-41b5a468
FLVW Marketing GmbH,942,flvw-marketing-gmbh
FVM,11,fuball-verband-mittelrhein-ev
Fußballverband Niederrhein e.V.,668,fuballverband-niederrhein-ev
Fußballverband Sachsen-Anhalt,97,fuballverband-sachsen-anhalt
Fußballverein 1923 Neuburg,27,fuballverein-1923-neuburg
FV Biberach,74,fuballverein-biberach
FV Biebrich 02,130,fuballverein-biebrich-02
Wannsee,57,fuball-vereinigung-wannsee-ev
FV Langenargen,28,fussballverein-langenargen-1920-ev
FV Möhringen,130,fuballverein-mohringen
TuS Mayen,66,fuballverein-tus-mayen
FC Hatvan,209,futball-club-hatvan-egyesulet
FK Dúbravka,421,futbalovy-klub-dubravka
FK Lamač,52,fk-lamac
Fútbol 7 Élite,1078,san-roque-balompie
F7Sevilla,1401,futbol-7-sevilla
BFC Daugavpils,357,futbola-centrs-daugavpils
AUDA,276,futbola-klubs-auda
FK Jelgava,248,futbola-klubs-jelgava
FK Smiltene,98,futbola-klubs-smiltene
Futbol Aragon - Real Federacion Aragonesa de Fútb,43,futbol-aragon-real-federacion-aragonesa-de-futb
Futbol Arena,1298,futbol-arena-torun
Secretaría,35,secretaria
Futbol Base Carmona,116,futbol-base-carmona
FB Dénia,301,futbol-base-denia
Fútbol Base Elche C.F.,2453,elche-club-de-futbol-sad
Base Montcada,66,futbol-base-montcada
LAMORINDA SOCCER CLUB,98,richmond-sol-cobras
FutbolCatLive,126,parets-cf
Futbol Club,193,scardina-team
FC Ascó,137,futbol-club-asco
Barça,36,barcelona-futbol-club
Beckett,350,futbol-club-beckett
Futbol Club Britanico,127,futbol-club-britanico
DCC-,60,north-carolina-football-club-a3849415
Futbol Club Deportivo Arizona,85,futbol-club-deportivo-arizona-2a947f9f
FC Edmonds B08,26,futbol-club-edmonds
FC Neshanic,10,futbol-clube-neshanic-soccer-club
FCGS FORCE,34,futbol-club-golden-state-force-2010-mls-next
FC Hansen,97,christ-the-king
FCHP,39,futbol-club-highland-park
Futbol Base Hospitalet de l'Infant,66,futbol-base-hospitalet-de-linfant
FC Mesquite,27,futbol-club-mesquite
FC Regina,506,futbol-club-regina
Fútbol Club,451,highland-youth-soccer-club
Futbol Club Sant Celoni,116,futbol-club-sant-celoni
Personal,10,futbol-club-santiago
FC Sant Joan Despí San Pancracio,143,futbol-club-sant-joan-despi-san-pancracio
Sudamerica,1620,futbol-club-sudamerica
Vilablareix,120,futbol-club-vilablareix
FC Vilamalla,134,futbol-club-vilamalla
FC Edson Soto,864,futbol-consultants-edson-soto
Futbol Corner,78,tesfu-futbol-corner
FUTBOLELLAS,60,futbolellas-cff
Futboleros,17,vegas-del-genil
Futbol Events,76,futbol-events
Fútbol Five,15,futbol-five
FUTBOLFOCUS,97,atletico-estrella
Fútbol FM,141,futbol-francis-y-mateo
Futbol Freaks,22,futbol-freaks-utd
Sporting 08B Green,140,santa-clara-sporting-soccer-club-06b-green
Futbol Inc,1384,futbol-incorporated
Tuzos,89,futbolito-tuzos
Fútbol Metrics,36,kpi-futbol-9b63e1dd
FA Šiauliai,445,futbolo-akademija-siauliai
Futbol Oeste,44,football-club-argentino
FK ATAKA,322,futbolo-klubas-ataka
FC Jonava,89,futbolo-klubas-vilnius
Futbolo klubas Kauno Žalgiris,176,futbolo-klubas-kauno-zalgiris
FÚTBOL PASIÓN,620,emf-pedreguer
Futbol Sala Vilanova,19,futbol-sala-vilanova
Futbol Services,86,futbol-services
Futboltec,573,futboltec-4
Ivana Brcic,214,futboltec-2
Futboltech,389,futboltech
Futboltech Flamengo 2015,86,futboltech-flamengo
Futboltec X Komad,32,futboltec-x-komad
Futbol Town,232,futbol-town
Futbol United,44,futbol-united
FVTV,113,futbolverse
Southern Districts,45,southern-district-football-association
Futbol Zone,2158,futbol-zone
FutCam,200,futcam
Futcam3,32,dinhos
FutCamGDL,31,futcamgdl
Futchamos,69,futchamos
Futebol,93,casa-pia-dbe46458
FC Neshanic,93,greater-flemington-soccer-club
FC Tirsense,52,futebol-clube-tirsense
Futebol Com Forca LDA,172,futebol-com-forca-lda
FUTECA,87,futeca
Futpal,102,futpal
Futsal,16,futsal-00151110
FUTSAL,39,liga-viatges-pantours
FCB,321,futsal-club-brampton
FC Toronto,576,futsal-club-toronto
ESCOCIA,433,futsal-escocia
Futsal Escola / Grind City,1080,futsal-escola-sports-club-and-grind-city-futsal
Futsal Gentofte,51,futsal-gentofte-d724ef86
Futsal Golden Lions,19,futsal-golden-lions-dae1adcb
FutsaLiga,34,futsaliga
Futsal kids MD Erembodegem,19,futsal-kids-md-erembodegem
Futsal Maniacs,14,futsal-maniacs
Futsal Mazarrón,34,club-deportivo-futsal-mazarron
Futsal Rorschacherberg,12,futsal-rorschacherberg-b6601c44
FUTSAL VAULX,61,futsal-vaulx
Futsal WA,3478,west-coast-futsal
FutScan,159,55-61-99883-0998
FUTSOC,106,armando-tamayo
Futsoul,514,futsoul
FUTTO,1021,futto
FUTTO #1,851,versus
Future 500,1088,future-500-id
FES,61,future-elite-sports-3ff8b854
Future Elite Sports,145,future-elite-sports
Future FC,434,future-fc
Future FC - G2011,115,future-fc-a0f03148
Future FC N,68,future-fc-n
Future FC,410,future-football-club
Future Football Elite,67,future-football-elite-c5249973
FFE,132,the-arena
Future Girls Soccer,16,future-girls-soccer
Future In Football,340,future-in-football
Future Lions Europe Limited,472,future-lions-europe-limited
Future Pro Ltd,179,futurepro-academy
Future Pro Academy VEO 3,61,demir-vavan
Future Club,117,future-soccer-academy
FSC,130,future-soccer-club
Futuro Soccer Academy,876,futuro-soccer-academy
Füzesabony,10,fuzesabonyi-sc
Füzesabonyi SC Erőss Út,96,fuzesabonyi-sc-eross-ut
FV 06 Sprendlingen,49,fv-06-sprendlingen
FV06 Sprendlingen,65,fv06-sprendlingen
FV 08 Hockenheim,16,fv-08-hockenheim
Fv 08 Rottweil,13,fv-08-rottweil-60721ed0
FV 08 Unterkochen e.V. / Vorstand Daniel Kolb,103,fv-08-unterkochen-ev
FV09 Schwalbach-Griesborn e.V.,14,fv09-schwalbach-griesborn-ev
FV09 Breidenbach,35,fv1909-breidenbach-ev
FV 1912 Wiesental,87,fv-hambruecken
FV 1919 Budenheim e. V.,52,fv-1919-budenheim-e-v
FV Bad Schussenried 1921 e.V.,25,fv-bad-schussenried-1921-ev
FV Bad Vilbel,10,h-t-elektrotechnik-gmbh
FV Biebrich 02 Away,34,fv-biebrich-02
Calw,97,vfl-nagold-2ff28758
FV Degerfelden,39,fv-degerfelden-92291758
FV Dresden Süd-West e.V.,210,fv-dresden-sud-west-ev
effaudee,122,fv-dudenhofen
FV Endenich,14,jannik-pehlival
FV Engers,16,pferdezucht-fe
FV Erkner 1920,10,fv-erkner-1920
Heddese,65,fv-fortuna-1911-heddesheim-ev
FV Fortuna Neuses,21,fv-fortuna-neuses-31212d54
FV Frauen - und Mädchenfußball Hessen-Nord e.v.,143,niklas-markert
Germania,175,fv-germania-degerloch-1897-ev
Fvg. Schwarz-Weiß 09/36 Oberhausen-Alstaden e.V.,29,schwarz-wei-alstaden-4903c4d8
FV Hafen Dresden e.V.,229,fv-hafen
FV Hellas Rüsselsheim,73,rot-weiss-walldorf-u21
FV Illertissen 1921 e.V.,73,fv-illertissen-1921-ev-58cc8382
FV Ingersheim,117,fv-ingersheim
Fußballverein Kickers 09 Lauterbach e.V.,46,fuballverein-kickers-09-lauterbach-ev
FV Langenwinkel e.V.,20,fv-langenwinkel-ev
FV Leopoldshafen,16,fv-leopoldshafen
FV Lörrach-Brombach,573,fv-lorrach-brombach
FV Neunkirchen,39,fv-neunkirchen
SV Nussloch,44,sv-nussloch
FV Olympia,30,fv-olypmpia-c2
F.V. Olympia Laupheim E.V. 1904,49,olympia-laupheim-fussball
FV Olympia Ramstein 1912 e.V.,10,vfb-olympia-ramstein-1912
FV Plochingen,29,fv-plochingen
Preussen Jungs,23,fv-preussen-eberswalde-1f5df201
FV Preussen Eberswalde,87,fv-preussen-eberswalde-ev
FV Ravensburg Jugend,22,fv-ravensburg-4789e52e
FV Ravensburg U17,72,fvravensburg
FV Rheinland,17,fv-rheinland-71cdd0e4
FV Rot-Weiß Weiler e.V.,21,fv-rot-wei-weiler-ev
FV Sportfreunde Neuhausen 1920 e.V.,13,fv-sportfreunde-neuhausen-1920-ev
FV Tumringen 1910 e.V.,22,fv-tumringen-1910-ev
FVW,25,fv-weienhorn-1920-ev
FV Wendelstein,12,fv-wendelstein
FV Wuestenrot e.V.,27,fv-wuestenrot-ev
FW All-Stars,165,aztecas-soccer-club
FW Allstars,75,fw-allstars-2016b
FWFC ECNL-R 07 G,103,carl
FWFC 2010 Boys ECNL,59,shan-byrom
FWRA,30,fwra
FW Soccer Booster Club,59,fw-soccer-booster-club
FXA Ventures LLP,42,fxa-ventures-llp
FYF Sports,11,moralo-cp
Fylkir,30,fyl
FY:ACADEMY,556,fylde-coast-futsal-academy-2
Fylde Coast,100,fylde-coast-soccer
Fylde HC,89,fylde-hc
Fylkir,264,fylkir
Fyrkat Q,81,fyrkat-q-2
Fyvie FC,140,fyvie-fc-3
Ft. Zumwalt West High School,31,fzw-jaguars
FzX FC c/o Monarch II,49,fzx-football-club
G2007/06 GA Ornelas,21,g200706-ga-hoffman
Hitra FK-G2010,28,hitra-fotballklubb-2
G2010 Slammers FC ECNL,46,ken-moyer
G2013 Legends Morgan,213,matrix-g2012-morgan
